p	h	t
barata	insetos	s.f. Gênero de insetos da ordem dos ortópteros, de hábitos noturnos, cujas principais espécies se encontram nos armazéns e nas cozinhas.
barata	automóvel,	Nome antigo de certo tipo de automóvel, também chamado baratinha.// Fig. Barata descascada, pessoa de pele muito branca; pessoa albina.
barateiro	Vendedor	Bras. (RJ) Vendedor ambulante de artigos de armarinho.
barba	Pêlos	s.f. Pêlos do queixo e das faces.
barba	pêlos	Longos pêlos que certos animais têm no focinho: as barbas do bode, do gato.
barba	Pêlos	Botânica. Pêlos ou filamentos compridos em certas partes das plantas: barbas do milho.
barba	Arestas	Arestas filiformes na superfície da madeira serrada, do metal fundido ou nas bordas do papel aparado.
barba	agrupamento	Qualquer agrupamento de fios ou pêlos: barbas do pincel.
barbaca	Fresta	s.f. Fresta estreita e vertical feita nas muralhas de uma fortaleza, por onde se pode atirar e observar o inimigo.
barbaca	Muro	Muro baixo construído diante das muralhas de uma fortaleza medieval.
barbante	Cordel	s.m. Cordel delgado, geralmente de algodão.
barbaridade	Ação	s.f. Ação de bárbaro, crueldade, maldade.
barbaridade	Interjeição	Bras. (S) Interjeição que exprime espanto.
barbarie	qualidade	s.f. Selvageria; qualidade ou condição do que é bárbaro, cruel ou desumano.
barbarie	Incivilidade;	P.ext. Incivilidade; em que há grosseria, rudeza ou falta de civilidade.
barbarie	dito	Barbaridade; dito ou texto que contém um erro crasso, uma falha grosseira e rudimentar.
barbatana	órgãos	s.f. Cada um dos órgãos membranosos com que se deslocam na água os peixes e alguns cetáceos.
barbatana	Lâmina	Lâmina córnea flexível do céu da boca das baleias, utilizada em certas peças de vestuário, para armá-las.
barbatana	Lâmina	P. ext. Lâmina de plástico ou metal usada com o mesmo propósito.
barbearia	Loja	s.f. Loja de barbeiro.
barbearia	Aposento	Aposento em que se fazia a barba nos conventos.
barbearia	Profissão	Profissão de barbeiro.
barbeiragem	Ação	s.f. Bras. Ação de conduzir inabilmente um veículo.
barbeiro	Inseto	Inseto hemíptero transmissor da doença de Chagas.
barbeiro	Nome	Nome de um peixe da família dos têutidas.
barbeiro	condutor	Bras. Mau condutor de veículos, especialmente automóveis.
barbeiro	Indivíduo	P. ext. Indivíduo inábil em sua profissão.
barbeiro	Vento	Fig. Vento forte e frio que corta a cara como uma navalha.
barca	Embarcação	s.f. Embarcação pequena e rasa, usada para transportar passageiros, veículos, bagagens e mercadorias em pequenas extensões de água. (Aument.: barcaça.)  A maioria das barcas tem uma abertura grande em ambas as extremidades, por onde são carregadas e descarregadas, não precisando fazer curvas quando atracam.
barco	embarcações:	s.m. Nome genérico dado às embarcações: barco de (a) vela, barco de (a) vapor, barco de passeio.
bardo	Sebe	s.m. Sebe de silvado para proteger cerrados e defesas.
bardo	Espécie	Espécie de curral mudável, onde ficam de noite as ovelhas, para estercarem a terra.
barganha	Permuta	s.f. Uso Popular. Permuta recíproca de coisas entre os seus respectivos proprietários; troca.
barganha	Troca	Pej. Troca de influência ou de benefícios que, geralmente feita de maneira desonesta, ocorre em segmentos políticos.
barganha	Negócio	Negócio obtido ou realizado através do uso de subterfúgios; trapaça.
barometro	Instrumento	s.m. Instrumento usado para medir a pressão atmosférica, indicando a altitude ou possíveis alterações e mudanças do tempo.
barra	peça	s.f. Longa e estreita peça de madeira ou metal, rígida e reta.
barra	Lingote	Lingote de forma alongada: uma barra de ouro.
barra	Corrimão	Coreogr. Corrimão que serve de ponto de apoio aos dançarinos para seus exercícios de flexibilidade.
barra	Entrada	Entrada estreita de um porto.
barra	Listrão,	Heráld. Listrão, peça do escudo que o atravessa de alto a baixo, em diagonal.
barra	Claridade	Claridade que indica o romper do dia.
barra	Forro	Forro que guarnece as saias interiormente junto à fímbria.
barra	Pintura	Pintura de cor diferente do fundo na parte inferior de uma parede.
barra	aparelho	Barra fixa, aparelho de ginástica formado por uma peça roliça de ferro ou madeira fixada horizontalmente sobre dois esteios.
barra	aparelho	Barras assimétricas, aparelho de ginástica composto de duas barras fixas paralelas colocadas em alturas diferentes.
barra	aparelho	Barras paralelas, aparelho de ginástica formado por duas peças de madeira fixadas paralelamente sobre esteios verticais.
barraca	abrigo	s.f. Pequeno abrigo de madeira, lona, plástico etc.
barraca	Casa	Casa modesta e mal construída.
barraca	Tenda	Tenda de campanha feita de lona.
barraca	Tenda	Tenda de feira.
barraca	Casa	Bras. (RS) Casa que negocia com produtos da indústria pastoril.
barracao	Barraca	s.m. Barraca grande.
barracao	Telheiro	Telheiro ou abrigo provisório para guardar diversos utensílios.
barracao	Toldo	Toldo de lona.
barracao	Estabelecimento	Estabelecimento comercial em lugares pouco habitados.
barracao	Residência	Bras. (Amazônia) Residência e depósito de borracha do seringueiro.
barracao	Recinto	Bras. (BA) Recinto onde se realizam as cerimônias públicas do candomblé.
barracao	casa	Bras. (MG) Pequena casa anexa à residência principal; casa de poucos cômodos, geralmente situada nos fundos de outra residência.
barraco	habitação	s.m. Bras. (RJ) Pequena habitação de madeira, coberta de palha, telha ou zinco, onde vivem favelados.
barragem	Ação	s.f. Ação de barrar: a barragem de um caminho.
barragem	Barreira	Barreira em caminho, rua etc.
barragem	Obra	Construção. Obra de represamento das águas de um rio, criando um desnível do plano da água entre o montante e a jusante. (As barragens podem servir para a regularização das vias navegáveis, a irrigação das plantações, a produção de energia elétrica.)
barranco	Ribanceira	s.m. Ribanceira de rio.
barranco	Encosta	Encosta íngreme não coberta de vegetação; escarpa.
barranco	Despenhadeiro,	Despenhadeiro, precipício.
barranco	Ravina	Ravina entalhada em certos cones vulcânicos.
barreira	Reunião	s.f. Reunião de peças de madeira ou metal para fechar uma passagem.
barreira	Posto	Posto fiscal nas divisas entre Estados, destinado ao controle de circulação de veículos, mercadorias etc.
barreira	Obstáculo	Fig. Obstáculo maior, grande dificuldade: a matemática foi a barreira no exame.
barrica	Vasilha	s.f. Vasilha ou tonel de 200 a 250 litros, para transportar ou guardar mercadorias, sobretudo líquidos.
barricada	Entrincheiramento	s.f. Entrincheiramento feito com barricas cheias de materiais diversos, para interditar o acesso de uma rua ou de uma passagem.
barricada	entrincheiramento	Qualquer espécie de entrincheiramento (veículos, estacas, arame farpado) com que se interditam ruas, passagens, sobretudo por ocasião de motins populares.
barriga	Cavidade	s.f. Cavidade abdominal onde se encontram o estômago e os intestinos; ventre, pança.
barriga	Saliência,	Saliência, protuberância.
barril	vaso	Qualquer pequeno vaso de madeira feito de aduelas.
barroco	estilo	s.m. O estilo que, em múltiplas formas de expressão artística, se caracteriza pelo excesso de ornamentos e pela liberdade de formas, opondo-se ao classicismo.
barroco	Época	P.ext. Época em que esse estilo se desenvolveu; artista que faz parte dessa época.
barroco	arte,	Tipo de arte, estilo ou modo, que se assemelha ao estilo barroco ou por ele foi influenciada; barroquismo.
barroco	Escritor	Escritor cujo estilo possui características semelhantes ao barroco, como excesso de ornatos, elaboração de metáforas, jogo de palavras, paradoxos, hipérboles etc.
barroco	Pérola	Pérola cuja superfície não apresenta regularidade.
barroco	pessoa	Pej. Diz-se da pessoa que se comporta de maneira extravagante; excêntrico.
basalto	Rocha	s.m. Rocha vulcânica, geralmente negra ou parda, que forma frequentemente vazamentos extensos, mostrando às vezes uma estrutura prismática.
base	Sustentação;	s.f. Sustentação; aquilo que se utiliza como suporte: a base da construção.
base	Princípio;	Princípio; o que define essencialmente alguma coisa: discurso com bases capitalistas.
base	Reunião	Figurado. Reunião do que é essencial para: o trabalho é a base do sucesso.
base	Premissa;	Figurado. Premissa; aquilo do que se parte para iniciar um raciocínio.
base	ingrediente	P.ext. O ingrediente mais importante em: bolo a base de baunilha.
base	construção	Alicerce; tipo de construção de alvenaria feita para assentar as estruturas externas ou internas de uma construção.
base	parte	A parte menos elevada ou mais profunda de: a base do rio.
base	Substância	Química. Substância que neutraliza ou reage com ácidos dando origem a sal e água.
base	Substância	Química. Substância que tem capacidade para receber próton (H1+).
base	substância	Farmácia. Excipiente; substância neutra ou inativa que, numa preparação farmacêutica, é usada como meio de transmissão para um ou mais princípios ativos.
base	porção	Política. A porção que corresponde aos votos de um partido: o candidato não escutou as bases.
basilica	Edifício	s.f. Edifício público na Roma antiga.  Uma basílica típica consistia num grande salão retangular, dividido em várias alas por fias de colunas. O teto da nave (parte central) era mais alto do que o das partes laterais. Uma abside rematava uma ou ambas as extremidades do retângulo. As basílicas romanas serviam de tribunais e para outras atividades cívicas.
bastao	pau	s.m. Longo pedaço de pau redondo, que se pode segurar na mão e que serve para diferentes usos: caminhar amparado num bastão.
bastao	Insígnia	Insígnia do comando militar: bastão de marechal.
bastiao	Obra	s.m. Obra avançada de uma fortificação, com dois flancos e duas faces.
bastiao	moeda	Antiga moeda de prata com o valor de 300 réis.
bastiao	moeda	Antiga moeda de prata com a efígie de Dom Sebastião.
bastidor	Aparelho	s.m. Aparelho para bordar, composto de um caixilho de pau com tiras de lonas que sustentam e retesam o estojo por bordar.
bastidor	caixilhos	Nos teatros, cada um dos caixilhos móveis em que se pregam os painéis e cenas laterais dos cenários.
bastidor	espaços	S.m.pl. Os espaços entre estes caixilhos ou cenas, e, p. ext., toda a parte das instalações do palco que não se vê da platéia: ir aos bastidores cumprimentar os artistas.
bata	Roupão	s.f. Ant. Roupão de homem.
bata	Vestimenta	Vestimenta inteiriça da mulher, abotoada na frente de cima a baixo.
bata	Partes	Bras. Partes acolchoadas e paralelas do lombilho.
bata	roupão	Espécie de roupão branco e de fazenda leve, usado por certos profissionais.
batalha	Combate	s.f. Combate geral entre dois exércitos ou duas armadas.
batalha	combate;	Qualquer combate; peleja, luta.
batalha	Luta,	Fig. Luta, esforços para vencer dificuldades.
batalha	Jogo	Jogo de cartas com dois parceiros.
batalhao	Qualquer	s.m. Militar  Qualquer tropa: o choque dos batalhões.
batalhao	Unidade	Unidade militar que compreende várias companhias.
batalhao	pessoas	Fam. Grande número de pessoas que vão juntas: vai lá um batalhão de garotas.
batata	tubérculos	s.f. Botânica. Nome de várias plantas de tubérculos subterrâneos e comestíveis, cuja espécie mais conhecida é a chamada batata-inglesa. (Família das solanáceas.)
batata	tubérculo	P. ext. O tubérculo ou bolbo de uma planta.
batata	vários	Ictiologia  Nome comum a vários peixes do mar.
bate-boca	Discussão	s.m. Discussão exaltada.
batedeira	Aparelho	s.f. Aparelho próprio para bater manteiga, massas de bolo etc.
batedeira	doença	Bras. Certa doença que ataca os suínos.
batedor	Policial	Policial que abre caminho para passar uma autoridade ou visitante ilustre.
batedor	Operário	Operário ou artífice que cunha moeda.
batedor	Caminho	Caminho por onde passa o gado para a aguada.
bateia	Gamela	s.f. Gamela de madeira em forma de alguidar para lavar as areias auríferas ou cascalho diamantífero.
batel	barco;	s.m. Pequeno barco; canoa.
batente	Parte	s.m. Parte de uma porta, de uma janela, que se move em torno de gonzos.
batente	peça	A peça em que bate a porta quando se fecha, oposta à coiceira.
batente	Trabalho	Bras. Pop. Trabalho de onde se tira o sustento.
bateria	Agrupamento	s.f. Agrupamento completo de coisas que vão juntas: bateria de alumínio de cozinha.
bateria	fileira	Artilharia. Uma fileira de bocas de fogo prontas para atirar, ou o lugar onde elas se encontram.
bateria	Fração	Fração de um corpo de artilharia.
bateria	Conjunto	Bras. Conjunto articulado dos instrumentos de percussão, como bombo, pratos, caixa, caixeta e vassourinha, tocado por um só músico.
bateria	reunião	Bateria elétrica, reunião de pilhas ou acumuladores elétricos.
batida	Ação	s.f. Ação de bater.
batida	Movimento	Movimento alternativo, pulsação: as batidas do coração.
batida	Ação	Ação de bater o mato para forçar a caça a levantar-se.
batida	Diligência	Diligência policial realizada em lugares suspeitos.
batida	Trilha	Trilha estreita no mato.
batida	Bebida	Bras. Bebida popular, preparada com aguardente, açúcar, limão ou outros ingredientes.
batina	Veste	s.f. Veste talar abotoada na frente, que os eclesiásticos usam; sotaina. (A partir de 1963, fora do exercício de suas funções sagradas, passou a ser permitido ao sacerdote o uso de roupa comum.)
batina	Estado	Estado eclesiástico: renunciar à batina.
batismo	Sacramento	s.m. Sacramento que, segundo o cristianismo, retira o pecado original de quem o recebe, sendo a partir de então considerado cristão.
batismo	cerimônia	Religião. Batizado; a cerimônia em que alguém recebe esse sacramento.
batismo	ritual	Religião. Ablução; ritual que consiste na lavagem dos pés para purificação ou iniciação.
batismo	Cerimônia	Cerimônia através da qual um objeto é benzido, atribuindo-lhe geralmente um nome.
batismo	ação	Admissão; ação de ser admitido em qualquer religião, seita, organização ou partido.
batismo	Cerimônia	Capoeira. Cerimônia em que os alunos combatem publicamente com seus mestres ou colegas, passando a fazer parte daquela irmandade, confraria.
batismo	ação	P.ext. Adulteração; ação de adulterar, modificando o conteúdo de algo, geralmente falsificando ou cometendo fraude: batismo da gasolina.
